"Population and dwelling counts: Canada and forward sortation areas © 1"
"Frequency: Occasional"
"Table: 98-10-0019-01"
"Release date: 2023-03-29"
"Geography: Canada, Forward sortation area"
"Universe: All persons, 2021 Census – 100% data"
"Variable List: Population and dwelling counts (3)"

"Population and dwelling counts (3)","Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
"V5E","26,843","11,097","10,620"
"V5G","20,137","7,673","7,257"
"V5H","41,948","21,163","19,649"
"V5J","23,190","8,860","8,460"
"V5K","23,431","9,735","9,106"
"V5L","19,473","10,855","10,240"
"V5M","23,412","9,364","8,778"
"V5N","35,843","16,190","15,201"
"V5P","31,624","11,935","11,042"
"V5R","48,150","19,741","18,623"
"V5S","32,940","13,449","12,729"
"V5T","26,340","15,246","14,275"
"V5V","24,288","10,201","9,487"
"V5W","20,828","8,397","7,844"
"V5X","31,095","12,047","11,055"
"V5Y","19,032","9,795","9,121"
"V5Z","24,957","12,787","12,074"
"V6A","21,062","11,864","10,895"
"V6B","32,375","20,528","18,552"
"V6C","2,846","1,785","1,532"
"V6E","27,482","18,597","16,964"
"V6G","28,013","19,683","17,887"
"V6H","17,742","10,555","10,007"
"V6J","23,044","13,677","12,887"
"V6K","27,146","14,837","13,979"
"V6L","10,563","4,143","3,904"
"V6M","16,421","7,720","7,234"
"V6N","14,258","5,307","4,971"
"V6P","33,079","14,848","14,083"
"V6R","19,170","9,195","8,394"
"V6S","15,711","7,315","6,365"
"V6T","12,048","5,487","4,716"
"V6V","11,096","3,729","3,553"
"V6W","2,439","1,213","1,152"
"V6X","41,321","18,510","17,406"
"V6Y","49,221","21,619","20,688"
"V6Z","20,683","12,943","11,800"
"V7A","26,533","9,410","9,037"
"V7B","820","315","304"
"V7C","40,708","16,025","15,153"
"V7E","37,803","14,215","13,788"
"V7G","11,851","4,874","4,696"
"V7H","12,430","4,690","4,562"
"V7J","17,865","7,341","6,964"
"V7K","12,586","4,423","4,282"
"V7L","29,248","14,524","13,485"
"V7M","23,086","12,285","11,632"
"V7N","15,150","5,796","5,567"
"V7P","13,710","6,084","5,726"
"V7R","15,585","5,610","5,380"
"V7S","11,141","4,286","4,010"
"V7T","9,891","4,439","4,099"
"V7V","15,241","7,139","6,727"
"V7W","8,698","3,508","3,276"
"V7Z","203","210","97"
"V8A","19,133","9,628","8,773"
"V8B","17,677","7,687","7,061"
"V8C","8,236","4,381","3,604"
"V8E","13,788","9,507","5,474"
"V8G","19,606","8,661","8,000"
"V8J","12,344","5,793","5,101"
"V8K","11,635","6,105","5,120"
"V8L","25,107","11,912","11,203"
"V8M","16,687","7,636","7,091"
"V8N","26,049","10,384","9,861"
"V8P","18,418","8,211","7,812"
"V8R","24,074","11,470","10,979"
"V8S","17,294","8,490","8,059"
"V8T","21,343","11,040","10,383"
"V8V","28,430","18,156","16,894"
"V8W","6,459","5,125","4,127"
"V8X","24,227","11,136","10,715"
"V8Y","10,134","4,234","4,087"
"V8Z","32,137","13,046","12,606"
"V9A","39,759","20,739","19,752"
"V9B","53,952","23,436","22,370"
"V9C","27,886","10,895","10,469"
"V9E","5,341","2,187","2,102"
"V9G","15,885","7,150","6,746"
"V9H","10,137","4,262","4,085"
"V9J","9,385","4,087","3,825"
"V9K","16,688","8,530","7,634"
"V9L","36,520","15,935","15,138"
"V9M","18,470","8,389","8,058"
"V9N","32,956","15,374","14,849"
"V9P","27,708","13,858","13,097"
"V9R","31,992","14,937","14,039"
"V9S","17,977","8,800","8,488"
"V9T","36,952","16,015","15,399"
"V9V","11,300","4,762","4,623"
"V9W","30,783","14,293","13,655"
"V9X","11,345","4,577","4,390"
"V9Y","26,445","12,975","11,971"
"V9Z","20,131","8,841","8,267"
"X0A","19,355","6,573","5,530"
"X0B","6,476","1,958","1,681"
"X0C","11,027","3,189","2,715"
"X0E","19,798","9,021","7,308"
"X0G","468","209","170"
"X1A","20,804","8,373","7,729"
"Y0A","1,657","1,023","770"
"Y0B","7,481","5,066","3,640"
"Y1A","31,094","13,521","12,771"




Footnotes:
1,"Forward Sortation Area (FSA©)
The counts for Forward Sortation Area (FSA©) codes are based on the first three characters of the postal codesOM collected from 2021 Census questionnaires. The first character of a postal codeOM corresponds to a province, a territory, or a region within a province (Dictionary, Census of Population, 2021 Table 1.9).
The postal codeOM is captured for all households from the address information provided or confirmed by the respondent on the 2021 Census questionnaire. The same postal codeOM was assigned to all members of a given household to enable the compilation of various census data.
The reported postal codesOM are then processed and validated according to specific criteria. Postal codesOM were determined to be applicable for the 2021 Census if they appeared as active records as per Canada Post Corporation (CPC) in May 2021, the month of the Census. However, postal codesOM provided by the respondents were considered acceptable if they were found in the file from CPC within the six months leading up to the Census. This is consistent with the effort to represent the postal codesOM whenever they could be considered as being active and in use at the time of the Census. In cases where a postal codeOM was not provided or was invalid, an imputation process assigned a valid postal codeOM. At the end of this process, a postal code is associated with each census household.
The postal codeOM provided by respondents may not be the same as the postal codeOM of their dwelling. For example, they may denote the postal codeOM of their mailing address, such as a post office location (as in the case of general delivery) or a business location. Consequently, some respondents' postal codesOM may fall outside the FSA© in which their dwelling is located.
While these processes allow census respondents to provide postal codesOM of any category (for instance, a commercial postal codeOM or a large volume receiver postal codeOM), analysis of census results has shown that this occurs only for a small number of households. If an FSA© is not represented by postal codesOM reported on census questionnaires, it is not included in census products or the Census Forward Sortation Area©Boundary File, 2021 Census. Where a postal codeOM is not frequently reported in a dissemination area, it may not be represented in the 2021 Census Forward Sortation Area© Boundary File which is built from dissemination areas. As a result, whereas 1,646 FSAs© were reported in the 2021 Census, only 1,643 are represented in the boundary file.
All households that provided a postal codeOM with the same FSA© were grouped to calculate FSA© totals in census products. Users should proceed with caution if FSAs© or postal codesOM are used as a proxy for standard geographic areas. Forward Sortation Areas© and postal codesOM do not necessarily respect the boundaries of standard geographic areas (Standard Geographical Classification (SGC) 2021).
© This data includes information copied with permission from Canada Post Corporation.
OM: Postal code is an official mark of Canada Post Corporation."
2,"Excludes census data for one or more incompletely enumerated reserves or settlements."



"How to cite: Statistics Canada. Table 98-10-0019-01  Population and dwelling counts: Canada and forward sortation areas ©"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001901
